property_id,location_id,property_type,price,location,city,province_name,baths,area,purpose,bedrooms,Area Type,Area Size,Area Category
17092265,9030,Flat,6000000,Bahria Town Karachi,Karachi,Sindh,0,4.2 Marla,For Sale,2,Marla,4.2,0-5 Marla
17092276,232,House,16000000,Gulistan-e-Jauhar,Karachi,Sindh,0,3.2 Marla,For Sale,0,Marla,3.2,0-5 Marla
17092283,1673,Flat,21000000,DHA Defence,Karachi,Sindh,3,7.8 Marla,For Sale,3,Marla,7.8,5-10 Marla
17092306,8951,Flat,4200000,North Karachi,Karachi,Sindh,2,3.3 Marla,For Sale,2,Marla,3.3,0-5 Marla
17092307,8951,Upper Portion,6200000,North Karachi,Karachi,Sindh,2,4.8 Marla,For Sale,2,Marla,4.8,0-5 Marla
17092308,8951,Upper Portion,6500000,North Karachi,Karachi,Sindh,2,4.8 Marla,For Sale,2,Marla,4.8,0-5 Marla
17092309,8951,Penthouse,6000000,North Karachi,Karachi,Sindh,2,4.8 Marla,For Sale,2,Marla,4.8,0-5 Marla
17092310,8952,Upper Portion,6200000,North Karachi,Karachi,Sindh,2,4.8 Marla,For Sale,2,Marla,4.8,0-5 Marla
17092311,8954,Upper Portion,5500000,North Karachi,Karachi,Sindh,2,4.8 Marla,For Sale,2,Marla,4.8,0-5 Marla
17092312,8955,Penthouse,3400000,North Karachi,Karachi,Sindh,2,4.8 Marla,For Sale,2,Marla,4.8,0-5 Marla
17092313,8957,House,11000000,North Karachi,Karachi,Sindh,2,4.8 Marla,For Sale,4,Marla,4.8,0-5 Marla
17092314,8951,House,13500000,North Karachi,Karachi,Sindh,2,4.8 Marla,For Sale,6,Marla,4.8,0-5 Marla
17092315,8951,House,16500000,North Karachi,Karachi,Sindh,2,4.8 Marla,For Sale,6,Marla,4.8,0-5 Marla
17092326,232,House,18000000,Gulistan-e-Jauhar,Karachi,Sindh,3,6 Marla,For Sale,3,Marla,6,5-10 Marla
17092336,6686,Flat,5000000,Federal B Area,Karachi,Sindh,0,4.7 Marla,For Sale,2,Marla,4.7,0-5 Marla
17092337,6686,Lower Portion,5000000,Federal B Area,Karachi,Sindh,0,4.7 Marla,For Sale,2,Marla,4.7,0-5 Marla
17092338,6686,Flat,7500000,Federal B Area,Karachi,Sindh,0,4.7 Marla,For Sale,3,Marla,4.7,0-5 Marla
17092339,6687,Flat,2400000,Federal B Area,Karachi,Sindh,0,2 Marla,For Sale,2,Marla,2,0-5 Marla
17092340,6686,Lower Portion,4000000,Federal B Area,Karachi,Sindh,0,2.7 Marla,For Sale,2,Marla,2.7,0-5 Marla
17092341,6686,Lower Portion,4000000,Federal B Area,Karachi,Sindh,0,2.7 Marla,For Sale,2,Marla,2.7,0-5 Marla
17092370,232,House,19000000,Gulistan-e-Jauhar,Karachi,Sindh,3,8 Marla,For Sale,3,Marla,8,5-10 Marla
17092408,11734,Flat,5500000,Malir,Karachi,Sindh,0,4.8 Marla,For Sale,1,Marla,4.8,0-5 Marla
17092446,6727,Flat,4300000,Gadap Town,Karachi,Sindh,2,4.2 Marla,For Sale,2,Marla,4.2,0-5 Marla
17092456,11,Flat,4700000,North Nazimabad,Karachi,Sindh,2,3.8 Marla,For Sale,2,Marla,3.8,0-5 Marla
17092608,6686,Flat,5000000,Federal B Area,Karachi,Sindh,0,4.7 Marla,For Sale,2,Marla,4.7,0-5 Marla
17092609,6686,Lower Portion,5000000,Federal B Area,Karachi,Sindh,0,4.8 Marla,For Sale,2,Marla,4.8,0-5 Marla
17092610,6686,Flat,7500000,Federal B Area,Karachi,Sindh,0,4.7 Marla,For Sale,3,Marla,4.7,0-5 Marla
17092611,6686,Flat,4500000,Federal B Area,Karachi,Sindh,0,3.3 Marla,For Sale,2,Marla,3.3,0-5 Marla
