property_id,location_id,property_type,price,location,city,province_name,baths,area,purpose,bedrooms,Area Type,Area Size,Area Category
17091917,162,House,225000,F-10,Islamabad,Islamabad Capital,0,1 Kanal,For Rent,6,Kanal,1,1-5 Kanal
17091918,162,House,226000,F-10,Islamabad,Islamabad Capital,0,1 Kanal,For Rent,6,Kanal,1,1-5 Kanal
17091919,162,House,227000,F-10,Islamabad,Islamabad Capital,0,1 Kanal,For Rent,6,Kanal,1,1-5 Kanal
17091920,162,House,228000,F-10,Islamabad,Islamabad Capital,0,1 Kanal,For Rent,6,Kanal,1,1-5 Kanal
17091921,162,House,229000,F-10,Islamabad,Islamabad Capital,0,1 Kanal,For Rent,6,Kanal,1,1-5 Kanal
17091922,162,House,230000,F-10,Islamabad,Islamabad Capital,0,1 Kanal,For Rent,6,Kanal,1,1-5 Kanal
17091923,162,House,231000,F-10,Islamabad,Islamabad Capital,0,1 Kanal,For Rent,6,Kanal,1,1-5 Kanal
17091924,162,House,232000,F-10,Islamabad,Islamabad Capital,0,1 Kanal,For Rent,6,Kanal,1,1-5 Kanal
17091925,162,House,233000,F-10,Islamabad,Islamabad Capital,0,1 Kanal,For Rent,6,Kanal,1,1-5 Kanal
17091926,162,House,234000,F-10,Islamabad,Islamabad Capital,0,1 Kanal,For Rent,6,Kanal,1,1-5 Kanal
17091927,162,House,235000,F-10,Islamabad,Islamabad Capital,0,1 Kanal,For Rent,6,Kanal,1,1-5 Kanal
17091928,162,House,236000,F-10,Islamabad,Islamabad Capital,0,1 Kanal,For Rent,6,Kanal,1,1-5 Kanal
